,Generator Loss per step,Discriminator Loss per step
0,15.942195,1.747951
1,15.541645,5.2219925
2,12.13683,1.861897
3,10.384047,1.7756507
4,10.761585,2.0491803
5,9.411231,2.4275477
6,8.222814,1.4757897
7,7.9385734,1.4313213
8,7.58803,1.4793124
9,7.163491,1.5359153
10,6.959178,1.4757066
11,6.216748,1.4616983
12,6.52219,1.4197904
13,5.7131915,1.4150279
14,6.2510524,1.3937953
15,5.621068,1.3970246
16,5.5219703,1.387733
17,5.3190536,1.456165
18,4.8334084,1.4581164
19,5.167572,1.5804904
20,5.10953,1.7474732
21,4.897975,1.8053095
22,5.184752,1.5929627
23,4.588923,1.4418788
24,4.558589,1.434113
25,4.7971597,1.3925166
26,4.3394394,1.3854709
27,4.1911745,1.4112382
28,4.3431005,1.4060216
29,4.2215767,1.3953569
30,4.6778936,1.3949631
31,4.710613,1.3866011
32,4.3679004,1.3993306
33,4.530548,1.3875804
34,4.024357,1.391056
35,4.306845,1.3790997
36,4.18056,1.3883634
37,4.2397995,1.3833163
38,4.4152117,1.4026515
39,4.468394,1.3792202
40,5.132237,1.39641
41,3.9630454,1.3750551
42,4.157355,1.3687816
43,4.115787,1.3860497
44,4.194019,1.397383
45,4.3014603,1.4371247
46,4.8041296,1.4280275
47,4.5644073,1.3931525
48,4.229788,1.3858236
49,3.9489841,1.3757454
50,4.447461,1.3423637
51,4.1414747,1.3454336
52,4.293005,1.3289431
53,4.340454,1.3549714
54,4.43252,1.3241639
55,4.189972,1.3165904
56,4.344993,1.3161665
57,4.3932314,1.2803569
58,4.8110857,1.2849772
59,3.950889,1.2732711
60,3.9913492,1.2741512
61,4.8977056,1.3032889
62,4.274233,1.2404269
63,4.1798987,1.2496502
64,4.173998,1.234004
65,3.8557327,1.3395715
66,4.4559417,1.4397068
67,4.1813374,1.4536874
68,4.4239087,1.2840178
69,4.272866,1.2746634
70,4.2962847,1.4415193
71,4.094806,1.7806886
72,4.4044123,1.6839879
73,4.3124633,2.1315427
74,4.519656,1.8912649
75,3.9070446,1.58394
76,4.469303,1.3211977
77,4.501973,1.3376937
78,4.319515,1.3080139
79,4.1955585,1.2260125
80,4.08535,1.2587187
81,3.976613,1.257592
82,4.22742,1.2315971
83,3.880588,1.1887064
84,4.5861645,1.2316593
85,4.071813,1.1254107
86,4.032081,1.2073431
87,4.619535,1.1403794
88,3.9112258,1.1564515
89,4.419574,1.0942123
90,4.505266,1.1378584
91,4.037653,1.1993313
92,4.486124,1.1211239
93,4.0070305,1.144062
94,4.4862504,1.1539384
95,4.1741924,1.25568
96,4.031683,1.2070022
97,4.6826596,1.161118
98,4.0685706,1.1364398
99,4.0787754,1.2943218
100,4.321994,1.2847586
101,3.920104,1.3256984
102,3.9154484,1.2885417
103,4.1281447,1.1320431
104,4.074669,1.0874925
105,4.576998,0.9969418
106,4.4331274,1.0792904
107,4.404841,0.9328861
108,4.4449325,0.9654409
109,3.7909372,1.3697742
110,4.1411886,1.1985209
111,4.1636915,1.3126599
112,4.234029,1.2904903
113,4.3646536,1.2761521
114,4.237436,1.2347494
115,5.3524127,1.3426845
116,4.072887,1.2996328
117,4.121699,1.6740547
118,4.165881,1.6800768
119,4.1933236,1.5357713
120,4.1119733,1.3961701
121,4.44811,1.2123213
122,4.354233,1.1293283
123,3.9507432,1.1861668
124,3.876423,1.2790079
125,4.3376517,1.1158545
126,4.025227,1.2050359
127,4.1671305,1.1078966
128,4.2527146,1.2125753
129,4.4731607,1.184031
130,4.171286,1.2668476
131,4.215354,1.2794709
132,4.3453493,1.2538733
133,4.5465493,1.276037
134,4.0824575,1.3742
135,4.168561,1.3288152
136,4.9663625,1.2897182
137,4.07043,1.1846237
138,4.0493436,1.2655681
139,4.0559034,1.1952106
140,3.7413208,1.1935631
141,4.161057,1.0593835
142,3.9733045,1.1676273
143,4.3299108,1.0400431
144,4.3456483,1.0162944
145,4.281771,1.0504321
146,4.0300317,1.0390569
147,4.374743,1.2028806
148,3.8776429,1.448662
149,4.4379635,1.645648
150,4.1453266,1.4538437
151,4.4694505,1.3440166
152,4.4168344,1.4682593
153,4.1103578,1.3074068
154,4.113862,1.2044964
155,4.079309,1.2661065
156,3.839324,1.200178
157,4.22312,1.2032981
158,3.997299,1.159878
159,4.6089272,1.1491289
160,4.034784,0.9308177
161,4.024831,1.0847154
162,4.7578278,0.9553508
163,4.0918913,0.95471203
164,4.586841,0.8548003
165,4.7772737,0.81197464
166,4.35149,0.8554485
167,4.5251923,1.0102537
168,4.4043045,0.9088805
169,4.7607503,0.93920696
170,4.3659806,1.060494
171,3.6898136,1.722317
172,4.375735,1.6943784
173,4.0386043,1.5503608
174,3.9739249,1.8522537
175,4.092768,1.596966
176,3.8037508,1.5800469
177,3.6605701,1.4942417
178,4.2022605,1.1854115
179,3.9106877,1.2668319
180,4.286596,1.4116157
181,4.5834208,1.4316144
182,4.5183053,1.2003857
183,4.3525705,1.2206609
184,3.9711103,1.4765382
185,4.108677,1.3775408
186,4.1522074,1.35568
187,3.9564464,1.3663235
188,4.156333,1.3144636
189,4.3588467,1.2191454
190,4.993998,1.2720473
191,3.7955153,1.3365216
192,4.0054774,1.2823277
193,3.8563757,1.2981051
194,3.8247504,1.2995552
195,4.076433,1.3413794
196,4.6867743,1.16069
197,4.512724,1.1814392
198,4.0712996,1.2851903
199,3.7822828,1.32834
200,4.303661,1.2171063
201,4.058766,1.4495728
202,4.3425837,1.3818357
203,4.18478,1.5534403
204,4.2596188,1.254536
205,4.1560483,1.4758165
206,4.176908,1.247854
207,4.2973547,1.19818
208,4.597859,1.319269
209,4.130262,1.478404
210,4.04299,1.3645014
211,4.775381,1.3807323
212,4.1939945,1.2013841
213,3.9350832,1.3011692
214,3.918433,1.2033215
215,3.677408,1.2263758
216,4.0057206,1.2472688
217,4.20044,1.5012472
218,4.230518,1.2649627
219,4.327299,1.2002549
220,4.1383157,1.2353234
221,3.8003526,1.2543104
222,4.0648675,1.2463701
223,3.996781,1.216351
224,4.0900235,1.4170749
225,4.0904,1.4333398
226,4.537208,1.2529497
227,4.2939444,1.3279767
228,4.249372,1.2078956
229,4.2600293,1.2096648
230,4.2834015,1.1790669
231,4.0392523,1.2060955
232,4.3318944,1.1377027
233,4.0688524,1.1534297
234,4.5029383,1.1589174
235,4.275101,1.1415435
236,4.040542,1.5010955
237,4.4613123,1.4055097
238,4.11377,1.4028685
239,4.318032,1.2159593
240,4.460308,1.2667471
241,4.236463,1.4563191
242,4.4923115,1.2003427
243,3.8563075,1.2888498
244,4.4193788,1.2724311
245,4.223424,1.3723361
246,3.9297369,1.3804088
247,4.529583,1.1555187
248,4.004194,1.2322206
249,3.966607,1.2162097
250,4.027626,1.161031
251,3.7473705,1.325032
252,3.701919,1.3275744
253,4.0425706,1.1910944
254,4.0682836,1.2244878
255,4.3572145,1.2450407
256,4.7092347,1.3097508
257,4.382468,1.1755563
258,4.2102485,1.0607239
259,3.9277463,1.1972712
260,4.0652475,1.16292
261,3.959838,1.1965063
262,4.111696,1.3519003
263,3.9532712,1.3658668
264,4.271407,1.3364352
265,4.8930407,1.4014711
266,3.987437,1.3786888
267,3.8055334,1.343972
268,3.90239,1.2792168
269,3.7945395,1.2114704
270,4.3841887,1.381772
271,4.7181864,1.236519
272,4.467941,1.1141465
273,4.255837,1.1352136
274,3.9316332,1.0921726
275,4.3148317,1.0092574
276,4.1958704,1.3003719
277,4.0513515,1.2990301
278,4.5200143,1.453301
279,4.6402297,1.2344023
280,4.0637197,1.2458607
281,3.9821794,1.1692048
282,4.5005364,1.1923149
283,4.6977797,1.1469972
284,4.324201,1.381119
285,3.8372033,1.3081539
286,4.678313,1.2867469
287,4.3006415,1.1225803
288,4.169981,1.5308545
289,4.1774483,1.2532305
290,3.8778563,1.4413645
291,4.42682,1.4444025
292,4.1185365,1.5445395
293,4.1643767,1.2215538
294,4.2680516,1.1413603
295,4.0629277,1.1248168
296,3.785603,1.1448493
297,4.0231776,1.2738985
298,4.1852956,1.3045013
299,4.3435626,1.4712015
300,4.0240607,1.4012463
301,4.3733187,1.2880325
302,4.4900804,1.3201454
303,4.1858068,1.2766528
304,4.276659,1.3012482
305,4.261327,1.100803
306,3.9747903,1.0350835
307,4.655733,1.0540148
308,4.3572555,1.1231996
309,4.406517,1.2333465
310,4.278871,1.195632
311,4.093933,1.5153656
312,4.5271993,1.3562844
313,4.2879663,1.4575756
314,4.381619,1.2427723
315,4.3003454,1.1165717
316,4.1067705,1.1985979
317,4.07211,1.1710018
318,4.5764384,1.1528269
319,4.602853,1.1423304
320,4.383026,1.4390105
321,4.0733533,1.4717891
322,4.531174,1.2732344
323,3.9573839,1.3452429
324,3.9669428,1.2614794
325,4.061679,1.1356502
326,3.537672,1.2007675
327,3.651048,1.2798693
328,3.9081163,1.3774118
329,4.0198746,1.3338511
330,4.4358797,1.1262528
331,4.564475,1.1574674
332,4.2747154,0.97069764
333,4.427944,0.8986746
334,4.1352024,1.496378
335,4.1271806,1.3957453
336,4.1990433,1.3480722
337,4.0126176,1.3145206
338,4.12896,1.2556775
339,4.3730106,1.2503531
340,4.913507,1.3374343
341,3.910976,1.3306327
342,3.8665187,1.2861278
343,3.879403,1.1833723
344,4.2030697,1.1530184
345,4.4591827,1.2389687
346,4.585012,1.0428894
347,4.3257227,1.0123953
348,3.9833786,1.1964322
349,3.9471378,1.3071432
350,4.4953766,1.0130066
351,4.4374228,1.6316502
352,4.3820047,1.5315909
353,4.3547807,1.6762347
354,4.546826,1.4495928
355,4.133746,1.2641845
356,3.961565,1.1302042
357,4.3227177,1.0152072
358,4.586186,1.0890155
359,4.236194,1.297934
360,3.8356724,1.2562585
361,4.761045,1.2612424
362,4.5853667,1.1189398
363,4.042582,1.3856905
364,3.9808269,1.204566
365,3.884354,1.2876532
366,4.2903495,1.1024997
367,4.1079865,1.3255341
368,4.078464,1.2135298
369,4.550945,1.0883447
370,4.011775,1.1344085
371,3.8936956,1.5026282
372,4.4347773,1.4636374
373,4.2198687,1.4361639
374,4.322745,1.5409075
375,4.2811837,1.4185085
376,4.3265476,1.3164709
377,4.1208572,1.3140976
378,4.176118,1.2224205
379,4.11015,1.1492798
380,4.230858,1.0073558
381,3.9759495,0.960137
382,4.5862994,0.9971651
383,4.1629887,1.0490062
384,4.4037833,1.0308305
385,4.2624197,0.9548503
386,4.0488605,1.4216584
387,4.5225525,1.4491191
388,4.406026,1.6137083
389,4.5013905,1.3326843
390,4.5626183,1.4459999
391,4.550901,1.8530657
392,4.6810436,1.4038739
393,3.9340167,1.3938179
394,4.2497315,1.3372891
395,4.1245246,1.4055136
396,3.8434665,1.3429668
397,4.3121696,1.1422458
398,3.8517604,1.1767321
399,3.8983207,1.1173775
400,4.28132,0.94504154
401,3.8016484,1.043095
402,3.6374285,1.1227615
403,3.972918,1.0440955
404,4.425923,1.2775669
405,4.4737473,1.2314373
406,4.624264,1.4014938
407,4.2589626,1.4506431
408,4.4300838,1.2741679
409,4.200092,1.4489684
410,3.976928,1.25936
411,3.8496938,1.2001112
412,3.789774,1.1889746
413,3.8652856,1.1110016
414,4.4327965,0.9757769
415,4.826696,1.2318752
416,3.9044673,1.4260421
417,4.108472,1.7882619
418,4.368415,1.4987752
419,4.1773586,1.2701449
420,4.1322703,1.2886659
421,4.622775,1.0504174
422,4.447567,0.9524136
423,4.0944514,1.0561312
424,3.8715844,1.2217617
425,4.3543186,0.9871104
426,4.4544487,1.5440196
427,4.104293,1.4433072
428,4.386317,1.3775332
429,4.386857,1.3016021
430,4.002552,1.2721915
431,4.044074,1.1160779
432,4.2364445,1.0180516
433,4.338184,1.1819291
434,4.4598136,1.4172151
435,4.0663185,1.285898
436,4.650381,1.3998742
437,4.407184,1.2590935
438,4.3019595,1.4485093
439,4.101865,1.2554669
440,3.6118934,1.218424
441,4.2021995,1.12105
442,4.3724084,1.345221
443,4.153149,1.1262252
444,4.3732862,1.0426672
445,4.0769596,1.1957617
446,3.9878354,1.2695274
447,4.176922,1.4846593
448,4.0728188,1.2279842
449,4.5410395,1.5048039
450,4.3310966,1.5907025
451,4.370339,1.3440602
452,4.1498933,1.4415545
453,4.1759763,1.3006594
454,4.2155194,1.1281564
455,4.350956,0.97299385
456,3.9832268,1.0187683
457,4.378727,1.1231623
458,4.436198,1.3350408
459,4.5774984,1.2891785
460,4.137787,1.2499392
461,4.041297,1.52121
462,4.744006,1.1541674
463,4.267888,1.3029215
464,4.302321,1.2599037
465,4.1476254,1.1958547
466,4.2235084,1.2543757
467,4.370963,1.0905654
468,3.9285355,1.1923873
469,4.2958384,1.1980293
470,4.3883243,1.5218725
471,4.321678,1.4515791
472,4.41127,1.1831728
473,3.8737507,1.2198184
474,3.7478106,1.2042117
475,3.961703,1.0900404
476,3.460974,1.2892663
477,3.696691,1.2510595
478,3.7895136,1.1767434
479,3.943455,1.0670416
480,4.1969,1.1177753
481,4.9249506,1.2844028
482,4.1979694,1.4728633
483,4.4892974,1.2592158
484,4.819989,1.8672861
485,4.2633023,1.511619
486,4.03579,1.3431832
487,3.5513854,1.3596251
488,3.9385316,1.1514829
489,4.415171,1.0182815
490,4.621901,0.99866366
491,3.9652393,0.9807805
492,3.694576,1.059566
493,3.7461612,1.2013423
494,4.2750025,1.1890534
495,4.684855,1.3400931
496,4.861521,1.2833519
497,4.830209,1.1408019
498,4.2579117,1.2855272
499,4.283847,1.2875588
500,4.517522,1.1068364
501,4.2006054,1.4432865
502,4.0620284,1.3673888
503,4.329231,1.3731081
504,4.4076815,1.3146048
505,4.1736903,1.4147136
506,4.200092,1.306483
507,4.313034,1.1325182
508,4.5122185,1.0014038
509,4.384565,1.3031336
510,4.034498,1.3723388
511,4.656849,1.4322602
512,4.635762,1.0855354
513,4.339074,1.6151273
514,4.1251063,1.2928985
515,4.049737,1.4189434
516,4.1796074,1.2857217
517,4.147392,1.3550129
518,4.2834086,1.2279915
519,4.2872643,1.163873
520,3.9759858,1.0990052
521,3.9152298,1.1511748
522,4.121569,1.063119
523,3.9682078,1.1511471
524,4.40594,1.3226109
525,4.1795726,1.5149595
526,4.420236,1.169785
527,4.486471,1.3005536
528,4.462972,1.1807353
529,4.3155403,1.2379848
530,4.3352633,1.284859
531,4.236159,1.3688388
532,4.253109,1.3517625
533,4.001009,1.22535
534,4.4069347,1.0411458
535,4.3672595,0.98701596
536,4.0216722,1.3276256
537,4.586606,1.017436
538,4.520596,1.3216002
539,4.53318,1.1827421
540,4.3718867,1.2106047
541,4.9645185,1.7454356
542,4.5136967,1.4823257
543,4.0687084,1.5543664
544,4.3844213,1.4306318
545,4.0170803,1.30141
546,3.8216386,1.3533599
547,4.314887,1.2026266
548,3.7799678,1.2053833
549,3.7289898,1.2444361
550,3.9833174,1.0939531
551,3.5825858,1.2509527
552,3.506208,1.3041496
553,4.0697036,1.0236852
554,3.9340215,1.0837538
555,4.1794415,1.1218818
556,4.613911,1.2172006
557,4.2899466,1.2532533
558,4.2603846,1.2838924
559,4.9556165,1.8194069
560,4.118915,1.389267
561,4.0351844,1.387084
562,3.8367863,1.3419731
563,4.0936837,1.1737493
564,4.3224735,1.0933104
565,4.6737847,1.2322035
566,3.7780573,1.3096932
567,3.64682,1.1899228
568,3.7890303,1.1931345
569,4.2195807,1.1719153
570,4.347959,1.2271947
571,4.8374243,1.0837553
572,4.5150414,1.1417302
573,4.249167,1.4256806
574,4.3419685,1.6228225
575,4.5433154,1.2396884
576,4.3295097,1.5110773
577,4.121078,1.3321657
578,4.2858963,1.322479
579,4.3138895,1.2076904
580,4.017174,1.2542031
581,4.091543,1.1057028
582,4.229533,1.0336413
583,4.369702,0.93902373
584,4.268897,1.2481792
585,3.7966316,1.3390776
586,4.5493526,1.2827133
587,4.6287823,1.1157284
588,4.1966233,1.716901
589,4.188246,1.3416319
590,4.095304,1.4287685
591,4.278861,1.2535437
592,4.345972,1.4592083
593,4.1296244,1.2262639
594,4.1932554,1.5159099
595,3.9327404,1.3205459
596,3.7957373,1.3322897
597,4.031706,1.2282531
598,3.8474784,1.2849443
599,4.2157755,1.2196884
600,3.935911,1.2229757
601,4.164542,1.048382
602,4.2214403,1.3303168
603,4.3448763,1.22965
